Uniq Id	Crawl Timestamp	Dataset Origin	Product Id	Product Barcode	Product Company Type Source	Product Brand Source	Product Brand Normalised Source	Product Name Source	Match Rank	Match Score	Match Type	Retailer	Product Category	Product Brand	Product Name	Product Price	Sku	Upc	Product Url	Market	Product Description	Product Currency	Product Available Inventory	Product Image Url	Product Model Number	Product Tags	Product Contents	Product Rating	Product Reviews Count	Bsr	Joining Key
711decb2a3fdcbbe44755afc5af25e2f	2020-05-17 14:24:52 +0000		95495f579545cac053255ae7ce305691	""	Competitor							amazon.com	Home & Kitchen > Kitchen & Dining > Dining & Entertaining > Flatware > Serving Utensils > Cake, Pie & Pastry Servers	Dr. Pet	Kitchenex Stainless Steel Flatware Pie Server and Pie Cutter Set of 2	16.84	B07D2LJFYW	""	https://www.amazon.com/dp/B07D2LJFYW	US	| The Kitchenex Stainless Pie Server is both flashy and chic. It adds that perfect final touch to the presentation of your favorite desserts and meals. This cake knife will make serving a pleasure as well as impressing your guests | | Everyone loves either cake or pie, and many of us just can't get enough of both. But whichever side you favor, we all know what a hassle it can be to cut and serve the perfect slice of your favorite dessert. Regular pie servers just mash and ruin your food when trying to cut them, and plastic cutters and servers are often too flimsy and can break or bend. | But now we have the perfect solution with the Kitchenex Stainless Steel Pie Server! | Exquisitely crafted with high-quality food-grade stainless steel along with a serrated blade on both ends, you'll quickly and easily be able to cut and serve the perfect slice of your favorite food every time! No more messy or mushed cakes or pies, with the Kitchenex Stainless Steel Pie Server, you'll be serving up delicious pizzas and desserts like a pro chef. | An essential tool for every home or professional baker, the Kitchenex Stainless Steel Pie Server will make a great gift for that special chef in your life and is sure to bring a smile to their face. |	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/41AeR2oo75L._.jpg|https://images-na.ssl-images-amazon.com/images/I/61uiSzw7z4L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51a-k1BgSTL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41wzOb5UN1L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51wVNMhIKFL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41W8EKGUi5L._.jpg	""	Kitchenex Stainless Steel Flatware Pie Server and Pie Cutter Set of 2	Make sure this fits by entering your model number. The Kitchenex Stainless Pie Server is both flashy and chic. It adds that perfect final touch to the presentation of your favorite desserts and meals. This cake knife will make serving a pleasure as well as impressing your guests. Comes with a flexi-rigid 2.55 inch Stainless Steel Spatula which is perfect for the most elegant Lemon Meringue Pie, but also for Deep Dish Lasagna. Dishwasher safe for quick and easy clean up. The ambidextrous serrated blade will cut quickly and efficiently through the most common desserts, for quick and easy serving. This Pie Server is a fantastic alternative to having to use multiple utensils to get a job done. Dessert time should be a time of relaxation and enjoyment.	4.7	7	#88,070 in Kitchen & Dining (See Top 100 in Kitchen & Dining)|#98 in Cake, Pie & Pastry Servers	1cdd8bc638c6f8180833e89b7f63b977
443f90af51b4d556fa37aea9b4bfa8ef	2020-05-17 15:33:22 +0000		8d523ad2423fd30cb5bf400946d496b1	UPC: 823712247156	Competitor							amazon.com	Beauty & Personal Care > Hair Care > Hair Accessories > Headbands	Bohend	Bohend Fashion Rhinestone Headband Wide Knotted Sports Yoga Turban Hair Hoop Colorful Vintage Daily Use Hair Accessories for Women and Girls(5 pcs)	19.66	B085C3N4MJ	UPC: 823712247156	https://www.amazon.com/dp/B085C3N4MJ	US	Product description About this item Product Size:Width is 1.2 inch(3cm),free size,wide and elastic,not too tight or loose,suitable for most people. Package includes:5 pack Bohemian headbands.Various colors and styles meet various daily needs and matching requirements. Colors and style:5 different colors,including,orange,black,watermelon red,yellow,lotus root pink. Product benefits: 1.Wide Rhinestone knot style 2.Fashion unique design 3.Elastic stretchable Bands,easy to wear and take off,very convenient. 4.5 Pack,Multiple style,Super Worth! Features: Nice Design:The combination of classic knot design and colorful Rhinestone highlights your elegant charm and more reflects your fashion and youth. High-quality:Headbands is very durable,not easy to break off,no peculiar smell,no fading trouble,very convenient to wear and take off. Ideal Gifts:A wonderful headband for yourself to wear as you like or share with girlfriend,sisters,mother.Give rhinestone headband as a great gift on anniversaries,Valentine's Day,Mother's day or any other festivals. After-sales Service and Warranty 1.Contact us if you have any questions,we will reply in within 24 hours 2.100% new condition and 100% inspection Return Policy: If the product and the tag are damaged, your refund will be unworkable. Feel free to contact us if you find any problem with the item. Please keep the tags and the product new.	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/519FjuNp6OL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51xG1cLS43L._.jpg|https://images-na.ssl-images-amazon.com/images/I/513b5NKrOzL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41kKx9Qs-bL._.jpg|https://images-na.ssl-images-amazon.com/images/I/419xrsTu8EL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41XQYPynIsL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41IVd-IoRIL._.jpg	""	Bohend Fashion Rhinestone Headband Wide Knotted Sports Yoga Turban Hair Hoop Colorful Vintage Daily Use Hair Accessories for Women and Girls(5 pcs)	Size:Width is 1.2 inch(3cm),elastic hair band,suitable for most people.Pack includes 4 packs women headband. Quality:Headbands consist of high-quality cloth and plastic hair hoop,which is very durable and no smell,it will not hurt your hair and delicate skin.The Rhinestone is perfectly bonded to the hair band and will not break away,which is very shining and bright. Occasion:These hair bands make you more attractive and charming.Suitable for daily decoration,indoor and outdoor use,such as makeup,washing your face,parties,festival gifts,ceremonies,birthday and banquet. Headband is stretchable and comfortable to wear,no smell and not easy to break off,which can help with fixing your hair.And we have different colors to meet your daily matching needs. Good customer service:Please do not hesitate to contact us if your package has any quality or quantity problems,We will reply in within 24 hours.	0	0	#880,955 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care) #22320 in Fashion Headbands	59a0fde739a6ba485f29e4c2f1fd2f26
11d67e2c4ae95742771a7788008a3cc4	2020-05-17 15:31:57 +0000		910b9f10651d9d31744604eed7c11346	""	Competitor							amazon.com	Beauty & Personal Care > Hair Care > Hair Accessories > Headbands	SEPBRIDALS	Crystals CZ Cubic Zirconia Wedding Bridal Diadem Tiara Crown for Women Hair Accessories CH10213	32.50	B07JY5MV6M	""	https://www.amazon.com/dp/B07JY5MV6M	US	""	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/51NTMa2%2BSgL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51HzhL-iDLL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51yY1ZYu0ZL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51qSwuneU-L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51uDGArr6mL._.jpg	CH10213	Crystals CZ Cubic Zirconia Wedding Bridal Diadem Tiara Crown for Women Hair Accessories CH10213	Full CZ wedding tiara crown,wedding hair accessories,not rhinestone Made with micro-pave-setting cubic zirconia, high quality tiara. The material is copper, real platinum plated The hight is 1.1 inches, The diameter is 5 1/3 inches	4	1	#543,392 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care) #13222 in Fashion Headbands	21f8480c368646ba691a6253a0e5bcb3
e59801c0a00900acb8db3aabdf6a4859	2020-05-17 15:38:26 +0000		8d8db2540550e26f315a422785441fa6	""	Competitor							amazon.com	Home & Kitchen > Home Décor > Tapestries	Lunarable	Lunarable BBQ Party Tapestry, Kitchen Utensils Roasting Sausage Over The Fire Backyard Cooking Party Theme, Fabric Wall Hanging Decor for Bedroom Living Room Dorm, 45&quot X 30&quot, Green and Blue	15.95	B07FVXJ19Y	""	https://www.amazon.com/dp/B07FVXJ19Y	US	These one of a kind tapestries will help transform your room into your private sanctuary! MEASUREMENTS: 45&quot W X 30&quot L. MADE FROM: High quality 100% Microfiber - lightweight, very soft, cloth fabric. Includes a 1.5&quot rod pocket. Environmentally friendly, no dye substance harming health of your family. With high resolution pictures it will bring a 3D like realistic experience, adding a great perspective & completely changing the look of a room. It's a very quick and luxurious way to refresh the your home, office, study, basement or college dorm room without a big expense. Perfect gift idea for your mother, father, sister, brother, grandma, grandpa, wife, husband, son, daughter and all other beloved ones with 10's of thousands of surprising designs. You can find a theme for everyone with any interest in our Lunarable Amazon Collection. Enter into a new world with this art tapestry, it can be at a seashore scene or meditate with a mountain landscape scenery. If you're a fan of sports or have a hobby of any kind, you will be spending time with it in your own personal space. Customized, personalized products are very popular. As manufacturers of digital printed home textiles and decorations, we follow current trends and bring you the latest home fashion. Either a present to your family or best friend, fiance, parents, grandparents, boyfriend, girlfriend, grandson, or to yourself, the item should be interesting & authentic. Men, women, kids, teens, boys, girls will love this item! The digital images we display have the most accurate color possible, however due to differences in computer monitors, we cannot be responsible for variations in color between the actual product and your screen. Due to manual measurement, please kindly allow 1-2 cm discrepancy. CARE INSTRUCTIONS: Machine wash with cold water; Do not bleach. Tumble dry on low heat. Iron on low/medium heat. You can easily hang the tapestry up with pins or a rod up to 1.5&quot in diameter. No hardware is included.	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/51govz3CqJL._.jpg	micwid_70356_45x30	Lunarable BBQ Party Tapestry, Kitchen Utensils Roasting Sausage Over The Fire Backyard Cooking Party Theme, Fabric Wall Hanging Decor for Bedroom Living Room Dorm, 45&quot X 30&quot, Green and Blue	Make sure this fits by entering your model number. MEASUREMENTS - 45 INCHES WIDE x 30 INCHES LONG. Wall hanging art, wall decor, gift idea, poster. MADE FROM - High quality 100% microfiber, lightweight, super soft fabric. Unique. Versatile. FUN. FEATURES - Vivid colors & clear image. Includes 1.5-inch rod pocket. Professionally hand-sewn edges. EASY CARE - Machine washable on cold/delicate cycle. Dryer safe on low heat. Iron on low. NO FADING. ADDS GREAT PERSPECTIVE - Printed with state of the art digital technology. Printed on one side only.	5	3	#693,804 in Home & Kitchen (See Top 100 in Home & Kitchen)|#4,159 in Tapestries	6867b2c8540e6128210b3de73f48cf0a
e28d0551fbf16092efc7cf840fa7d72c	2020-05-17 14:57:47 +0000		661d79f65d90d69d87c08a7d2927a35f	UPC: 823544494919	Competitor							amazon.com	Beauty & Personal Care > Hair Care > Hair Accessories > Headbands	Silk Cool	Velet Lace Wig Grip Non Slip Wig Cap Elastic Band for Lace Wigs Women Comfort Head Hair Band Wig Headband Adjustable (Beige)	9.99	B0824XFH7S	UPC: 823544494919	https://www.amazon.com/dp/B0824XFH7S	US	Item Name: Wig Grip Band Material: Cloth Features: Hook and Loop Design, Comfortable, Wig Accessory Size: 23.50cm x 6.50cm x 1.50cm/9.25&quot x 2.56&quot x 0.59&quot (Approx.) Notes: Due to the light and screen setting difference, the item's color may be slightly different from the pictures. Please allow slight dimension difference due to different manual measurement. Package Includes: 1 x Wig Grip Band Specifications: This hair band is made of velvet fabric, which makes it comfortable and soft. Can be used to fasten your wig and prevent it falling down, and keep them tidy. The length is adjustable, can meet better your need. You will become more charming and cute when you wear this hair band. It is a very practical gift for your friends or yourself.	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/41Ngc2apEwL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41wsyLE9M6L._.jpg|https://images-na.ssl-images-amazon.com/images/I/516cucqxeWL._.jpg|https://images-na.ssl-images-amazon.com/images/I/517XaHpoGBL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41hlG2LsTVL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41pesK5SB3L._.jpg	""	Velet Lace Wig Grip Non Slip Wig Cap Elastic Band for Lace Wigs Women Comfort Head Hair Band Wig Headband Adjustable (Beige)	TOP QUALITY WIG BAND: It is made with a comfortable, stretchy, double-sided crushed velvet material with a closure in the back to fit most head sizes comfortably. ADVANTAGE: Secures Wigs & Scarves in Place; Adjustable Closure to Fit most Heads; Eliminates Headaches and Prevents Bald Spots. VERSATILITY:This adjustable design offers a one size fits all solution so you can quickly tailor to your preferences and head size with ease. DURABLE:It is not a one-use wonder. Even if you wear this wig gripper every single day, it can last for up to one year!	3.6	1	#381,395 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care) #8950 in Fashion Headbands	15a0e313b27aa20adfe6c282eb2e8cc3
0911604d3d2c474325747ab933fc0aea	2020-05-17 14:53:49 +0000		cea0ce6ac7ef12506625d96232c22ce0	UPC: 653981740849	Competitor							amazon.com	Beauty & Personal Care > Hair Care > Hair Accessories > Headbands	Hollywood Hair	Hollywood Hair Flat Braided Hair Headband | Blends in perfectly with your own natural hair (Dark Brown)	16.44	B075FRXR3W	UPC: 653981740849	https://www.amazon.com/dp/B075FRXR3W	US	Give your look a finished touch with the Flat braid headband. This gives the illusion of real hair being used as a headband. How to use: Fold around your head and close the band with the hook at the back. Pull over your head – leave like a necklace Release your own hair from beneath the headband For a perfect fit you can use the adjustable band Pull the headband up at the front and fix any hairs sticking out Made of Japanese Kanekalon fibers Available Colors: Light Golden Blonde Platinum Blonde Auburn Red Dark Brown Bold Black	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/31T8C8wXvZL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51JjPRH0Q9L._.jpg	""	Hollywood Hair Flat Braided Hair Headband | Blends in perfectly with your own natural hair (Dark Brown)	Glam up your hairstyle with the Hollywood Hair Braided Hair Headband Blends in with your own natural hair Available in 5 different salon colors Made of quality Japanese Kanekalon fibers Adjustable band with clasps for a perfect fit	4	1	#832,976 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care) #20961 in Fashion Headbands	fbe1ae5fcd579e88a44aa26a7a1da925
1e7ada2f1254fbbb6304457e1ad44747	2020-05-17 14:13:03 +0000		816808549c96ec89ad2c2ed1e39c095b	""	Competitor							amazon.com	Home & Kitchen > Kitchen & Dining > Dining & Entertaining > Flatware > Serving Utensils > Salad Servers	Arvindgroup	Arvindgroup NP/PE270-2 Napoleon Collection Salad Servers Set, White	46.42	B01JPDIUCC	""	https://www.amazon.com/dp/B01JPDIUCC	US	Line of flatware with burnished collars with grooves typical of the Baroque period and rounded end handles. This model of this flatware is suitable to set a romantic table and the wide range of colors lends itself to create personal combinations.	USD	111111111	https://images-na.ssl-images-amazon.com/images/I/31eJ2meUhnL._.jpg	NP/PE270-2	Arvindgroup NP/PE270-2 Napoleon Collection Salad Servers Set, White	Make sure this fits by entering your model number. 2 Piece Salad Servers Set 18/10 Stainless Steel with Resin Handle Made in Italy Material: 18-10 Steel Line of Flatware with Burnished Collars with Grooves Typical of The Baroque Period and Rounded End Handles	0	0	#472,982 in Kitchen & Dining (See Top 100 in Kitchen & Dining)|#273 in Salad Servers	e8ded04c4d4417c57b55a5b68f1ccdc1
7a50825fc103230a1ae2671adf91fdff	2020-05-17 15:22:21 +0000		450dd0692f49ce7870c3348b561d0735	UPC: 789859985279	Competitor							amazon.com	Beauty & Personal Care > Hair Care > Hair Accessories > Headbands	Janefashions	Janefashions Sensational Clear Crystal Rhinestone Tiara Crown Bridal Prom Pageant T11883	29.99	B00ZV81WXU	UPC: 789859985279	https://www.amazon.com/dp/B00ZV81WXU	US	This is sensational Austrian rhinestone tiara with hair combs. Glittery Clear Austrian rhinestones are set on Silver-plated metal. All the rhinestones shine a lot! Sides hair combs for extra security. This tiara is perfect for wedding, party, prom, pageant or any special occasions! Thanks for looking!	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/61YAYYA0qML._.jpg|https://images-na.ssl-images-amazon.com/images/I/61R7JS6VNVL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61E2GlEHGWL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51-%2BcVJZzgL._.jpg	T11883	Janefashions Sensational Clear Crystal Rhinestone Tiara Crown Bridal Prom Pageant T11883	This is sensational Austrian rhinestone tiara with hair combs. Glittery Clear Austrian rhinestones are set on Silver-plated metal. All the rhinestones shine a lot! Sides hair combs for extra security. This tiara is perfect for wedding, party, prom, pageant or any special occasions! Thanks for looking! Size: Approx. 4&quot H, and 5.5&quot in diameter (can be gently adjusted to comfortable fit). Rhinestone design is about 8-1/8&quot Long X 4&quot Height along the band. Condition: Brand New Janefashions is a US trademark and seller Janefashions is its ONLY owner. We will pursue legal action against trademark infringement in case of UNAUTHORIZED sale or resale.	0	0	#605,426 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care) #14834 in Fashion Headbands	950ffb9f00aeb4c0d4f46c796471962c
723b2c8ab7d5427942ba2bff3fb805f3	2020-05-17 14:17:54 +0000		3339bc720d3f601c429e8acf3fd590e0	""	Competitor							amazon.com	Baby Products > Feeding > Solid Feeding > Utensils	Oneida Your Zone Jr	Kids 4 Piece Butterfly Stainless Steel Flatware Set	14.99	B00YQ391XE	""	https://www.amazon.com/dp/B00YQ391XE	US	Four piece children's flatware set is perfect for little hands and mouths. Ideal for children who want to eat by themselves but aren't big enough for full-size utensils. Includes small spoon, large spoon, fork and dinner knife. Dishwasher safe and stain resistant	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/41ChNUD%2BKyL._.jpg	SG_B00YQ391XE_US	Kids 4 Piece Butterfly Stainless Steel Flatware Set	Kid-sized flatware is perfect for children's small hands Features adorable butterfly designs on the tip of the handle Includes small spoon, large spoon, fork and dinner knife Dishwasher safe and stain resistant Perfect for kids who want to eat by themselves but aren't big enough for full-size utensils	4.4	59	#52,484 in Baby (See Top 100 in Baby) #859 in Toddler Utensils	4c01e51692bf343a628c92a89f1e4dc5
27922fa32ea668e5e44a836980d6615a	2020-05-17 15:27:41 +0000		037e1cd210b6d6ac4d851546adb5f4b5	""	Competitor							amazon.com	Beauty & Personal Care > Hair Care > Hair Accessories > Headbands	HAIMEIKANG	Plush Hair Rope Ring Headband Simple Hairs Accessories Headbands Bubble Head High Elastic Rubber Band Fifteen Colors	9.99	B081ZRB2RP	""	https://www.amazon.com/dp/B081ZRB2RP	US	| | | These strands are strong enough to twist the braid twice to keep your hair during exercise. | The color of our high-quality plush hair loops will not fade due to frequent use or weather. | The ideal user is anyone who has medium to long length thick hair and enjoys tying it up. | | | | | For you | As a gift for her | For friend | One size	USD	999999999	https://images-na.ssl-images-amazon.com/images/I/5184zs%2BwSXL._.jpg|https://images-na.ssl-images-amazon.com/images/I/519Qu8GxAwL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51iATE0n3rL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51MrqZjJvTL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51XgyKipZkL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51AM3CQPPrL._.jpg|https://images-na.ssl-images-amazon.com/images/I/515xxgJ0s1L._.jpg	""	Plush Hair Rope Ring Headband Simple Hairs Accessories Headbands Bubble Head High Elastic Rubber Band Fifteen Colors	【MATERIAL】：Plush texture hair ring.These hair bands good texture, shiny and soft, each hair band with a durable rubber band, can fix your hair well and will not hurt your hair quality hair headband 【SIZE】：Only one size, with good flexibility fit most of hairs hair scrunchiess 【OCCASION】：Colorful scrunchies can be applied in various occasions, you can wear them attending parties, ceremonies and daily wearing, practical and useful for you hair scrunchie. 【SEASON】: This plush hair loop is not only suitable for winter, but also a good choice in spring and summer,you wo n’t feel hot in summer because it is stuffed,the perfect choice for a gift for mom, for yourself or for a daughter. 【SERVICE GUARANTEE】：Unconditional return refund,if you have any problem you can connect with us and we will solve the problem for you until you satisfied	0	0	#909,448 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care) #23271 in Fashion Headbands	f627f8b69f74d562a24eac022ffe55a1
